status_id,status_message,status_author,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
558429457587216_1249246341838854,"Still working on my split-screen projects. This time i collab'd with a  superb multi-instrumentalist mate David Hogan. Here we do the Bob Mintzer big band chart Slo Funk!  I play all the rhythm section, Dave plays all the horns. The major challenge here was syncing the whole project, but it was rewarding in the end. #JOTW",Simon Peter King,,video,https://www.facebook.com/10152896851145119/videos/10154889025115119,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1249246341838854/,2/6/2017 17:17,324,40,0,280,26,18,0,0,0
558429457587216_1250274688402686,"Always by your side, Ralph Towner

at last months I´ve been trying to play his songbooks
it seems easy, but it´s a hard work (for me)
hope you enjoy",Gustavo Cunha,,video,https://www.facebook.com/10203504795679937/videos/10208647079633822,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1250274688402686/,2/7/2017 15:00,6,2,0,6,0,0,0,0,0
558429457587216_1249114998518655,"While I try to spend some time each week on scales, arpeggios and more broadly on jazz improv, mostly I use my time coming up with new song arrangements for solo guitar, since, with all practicality, 75% of my gigs are solo guitar, entertaining guests at restaurants, cocktail parties and receptions. Here is a brand new solo guitar arrangement from just last Friday, ""Rikky Don't Lose That Number"", by Steely Dan.",Jake Reichbart,,video,https://www.facebook.com/10152526214333437/videos/10154369223913437,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1249114998518655/,2/6/2017 14:18,107,13,0,101,6,0,0,0,0
558429457587216_1250355788394576,"Hi!! I try to play the theme of From Within, Michel Camilo! 
Enjoy ! 🎹✌️
#jamoftheweek",Adrien Brandeis,,video,https://www.facebook.com/10155913830600422/videos/10158271505560422,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1250355788394576/,2/7/2017 17:10,5,0,0,5,0,0,0,0,0
558429457587216_1250282421735246,"Requests!

Usually if I don't know a tune someone requests, I follow up with ""I'll add it to the list."" It may come off like I'm writing them off, but I do actually keep a list.  I whittle away at it when I find the time.  It not only helps to keep me employed and accountable; it also turns me on to music I wouldn't have dug otherwise. Most of the time. :)

Anyway, here's the latest I've been working on, ""Brick"" by Ben Folds Five. Admittedly I'm still faking a few parts but, as with most things, it's a work in progress.

C&C always cool!

#ILoveThisGroup #JamoftheWeek #LearningTunes",Taylor Roberts,,video,https://www.facebook.com/1561540077395456/videos/1875860859296708,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1250282421735246/,2/7/2017 15:12,11,3,0,9,2,0,0,0,0
558429457587216_1249260988504056,Always working on rhythm changes.,Dean Newton,,status,,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1249260988504056/,2/6/2017 17:50,18,2,1,18,0,0,0,0,0
558429457587216_1249872525109569,"At 6:00 AM ""Etude N"" to get things moving.  This is 2min for a taste of a 30 minute exercise routine .",Mark Kleinhaut,,video,https://www.facebook.com/10204410710240620/videos/10209999769523609,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1249872525109569/,2/7/2017 07:46,49,8,0,47,2,0,0,0,0
558429457587216_1250332938396861,"week #160 playng over Confirmation .. one of my favorite tunes, C&C welcome",Michele Brienza,,video,https://www.facebook.com/10201199761032129/videos/10203010956990896,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1250332938396861/,2/7/2017 16:31,34,4,0,33,1,0,0,0,0
558429457587216_1250282255068596,"One chorus of comping over ""I Wish I Knew"", a tune I'm learning this week. Also have been shedding and working on voicings and inversions, whilst writing an instructional type PDF thing. So i'm excited to finish that when time allows! #jamoftheweek",Zakk Jones,,video,https://www.facebook.com/10203953316015200/videos/10208765563678384,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1250282255068596/,2/7/2017 15:12,17,1,0,17,0,0,0,0,0
558429457587216_1249314771832011,"Here's an improv challenge I've been working on. 
Metronome on at least 200 bpm. 
Then play an unbroken line of 1/8th notes (and ONLY 1/8th notes) over a 1-6-2-5 progression, each chord lasting one bar. 
Any deviation or pause means you have to stop and start again. 
The line must maintain adherence to the changes and not devolve into nonsense, and not TOO much repetition of ideas. 

This is the best I could do tonight - about 1:20 or so. My goal is 5 minutes. Someday!",Paul Pieper,,video,https://www.facebook.com/10152367277734158/videos/10155010856249158,https://www.facebook.com/groups/jamoftheweekgroup/permalink/1249314771832011/,2/6/2017 19:34,551,36,0,503,18,30,0,0,0
